Production ID,Date,Product Type,Machine ID,Shift,Units Produced,Defects,Production Time Hours,Material Cost Per Unit,Labour Cost Per Hour,Energy Consumption kWh,Operator Count,Maintenance Hours,Down time Hours,Production Volume Cubic Meters,Scrap Rate,Rework Hours,Quality Checks Failed,Average Temperature C,Average Humidity Percent,month,Production per hour,Defect Rate per 100 units produced,down_timr_to_production_time_ratio,down_time_to_production_time_ratio,Maintenance Group
11-01-1900,2018-01-12,Automotive,1,Day,188,8.0,3.46,29.45,18.05,245.14,1,3.2,1.95,1.06,0.021,1.0028851851851852,0,23.5,34.4,January,54.335260115606935,4.25531914893617,1.7743589743589743,0.5635838150289018,3-4
12-01-1900,2018-01-13,Textiles,5,Swing,172,8.0,14.0,17.66,21.72,281.45,3,2.66,2.69,2.35,0.036,0.89,0,24.4,51.4,January,12.285714285714286,4.651162790697675,5.204460966542751,0.19214285714285714,2-3
13-01-1900,2018-01-14,Textiles,5,Day,70,6.0,20.86,10.42,24.44,215.36,1,4.93,0.7,0.9,0.034,1.0028851851851852,2,20.1,47.9,January,3.3557046979865772,8.571428571428571,29.8,0.03355704697986577,4-5
14-01-1900,2018-01-15,Furniture,17,Night,55,1.0,22.0,24.82,27.92,234.33,4,2.17,1.57,1.35,0.047,1.31,2,24.6,59.1,January,2.5,1.8181818181818181,14.012738853503183,0.07136363636363637,2-3
15-01-1900,2018-01-16,Automotive,3,Night,136,6.0,23.99,24.74,22.55,204.39,4,0.8,1.57,2.31,0.04,1.0028851851851852,0,21.4,41.2,January,5.66902876198416,4.411764705882353,15.280254777070063,0.06544393497290539,0-1
16-01-1900,2018-01-17,Furniture,20,Swing,152,4.0,17.86,30.65,25.52,390.9,1,1.41,2.9,2.48,0.032,0.36,2,25.0,54.6,January,8.51063829787234,2.6315789473684212,6.158620689655172,0.1623740201567749,1-2
17-01-1900,2018-01-18,Electronics,13,Swing,120,5.0,5.81,48.47,25.35,251.57,1,4.01,2.05,1.03,0.047,1.4,2,22.2,52.0,January,20.654044750430295,4.166666666666667,2.8341463414634145,0.3528399311531842,4-5
18-01-1900,2018-01-19,Appliances,10,Day,158,8.0,15.59,13.18,16.77,392.66,2,4.12,1.3,2.4,0.044,0.93,2,19.1,35.6,January,10.13470173187941,5.063291139240507,11.992307692307692,0.08338678640153946,4-5
19-01-1900,2018-01-20,Textiles,8,Swing,85,2.0,23.76,18.96,27.23,369.77,4,0.59,0.35,1.46,0.022,1.39,0,23.2,35.6,January,3.5774410774410774,2.3529411764705883,67.8857142857143,0.01473063973063973,0-1
20-01-1900,2018-01-21,Automotive,4,Night,64,2.0,14.51,28.02,21.45,322.07,1,4.93,1.91,1.77,0.047,0.9,1,20.4,35.3,January,4.410751206064783,3.125,7.596858638743456,0.13163335630599587,4-5
21-01-1900,2018-01-22,Appliances,10,Swing,58,2.0,9.87,23.97,15.85,368.7,1,1.76,2.87,2.02,0.029,0.33,1,22.1,41.3,January,5.876393110435664,3.4482758620689653,3.439024390243902,0.29078014184397166,1-2
22-01-1900,2018-01-23,Textiles,8,Day,96,8.0,7.24,32.58,23.54,321.45,3,1.79,1.0,1.24,0.021,1.18,1,19.8,34.2,January,13.259668508287293,8.333333333333334,7.24,0.13812154696132597,1-2
23-01-1900,2018-01-24,Textiles,6,Day,135,2.0,9.03,42.16,28.61,387.81,3,1.42,1.97,2.17,0.017,1.77,0,23.1,56.0,January,14.950166112956811,1.4814814814814814,4.583756345177664,0.21816168327796237,1-2
24-01-1900,2018-01-25,Appliances,9,Night,188,5.0,17.93,26.73,26.39,230.6,2,3.84,2.36,2.35,0.037,1.58,0,18.6,50.1,January,10.485220301171221,2.6595744680851063,7.5974576271186445,0.1316229782487451,3-4
25-01-1900,2018-01-26,Electronics,14,Swing,66,3.0,5.84,22.37,16.8,412.53,1,2.5071666666666665,2.63,2.02,0.036,1.0028851851851852,2,21.9,54.6,January,11.301369863013699,4.545454545454546,2.220532319391635,0.4503424657534246,2-3
26-01-1900,2018-01-27,Furniture,19,Swing,122,9.0,15.74,19.12,27.0,219.41,1,3.57,2.3,0.73,0.034,1.69,1,18.7,31.6,January,7.750952986022871,7.377049180327869,6.843478260869566,0.14612452350698854,3-4
27-01-1900,2018-01-28,Furniture,19,Day,83,4.0,15.42,41.52,15.68,491.62,1,0.47,1.24,0.61,0.043,0.07,1,24.4,51.7,January,5.382619974059663,4.819277108433735,12.435483870967742,0.08041504539559015,0-1
28-01-1900,2018-01-29,Appliances,12,Swing,95,3.0,7.07,13.7,23.63,254.49,2,3.86,1.57,1.1,0.049,1.54,0,19.1,42.3,January,13.437057991513436,3.1578947368421053,4.503184713375796,0.22206506364922207,3-4
29-01-1900,2018-01-30,Automotive,3,Swing,132,2.0,12.6,29.43,16.73,105.2,1,3.89,1.77,2.05,0.015,1.4,1,20.6,53.0,January,10.476190476190476,1.5151515151515151,7.11864406779661,0.14047619047619048,3-4
30-01-1900,2018-01-31,Electronics,15,Swing,143,6.0,20.93,24.93,24.03,286.19,3,3.25,1.66,2.22,0.043,1.0028851851851852,1,19.7,49.0,January,6.832298136645963,4.195804195804196,12.608433734939759,0.07931199235547061,3-4
31-01-1900,2018-02-01,Electronics,14,Night,79,9.0,19.29,35.31,17.29,482.31,4,0.96,1.27,1.32,0.039,0.28,1,23.0,39.6,February,4.095386210471747,11.39240506329114,15.188976377952756,0.0658372213582167,0-1
01-02-1900,2018-02-02,Appliances,11,Swing,189,7.0,14.48,60.0,28.41,353.47,4,2.5,1.9,0.75,0.028,0.02,0,18.5,58.4,February,13.052486187845304,3.7037037037037037,7.621052631578948,0.13121546961325967,2-3
02-02-1900,2018-02-03,Appliances,12,Day,149,0.0,16.35,23.87,24.78,140.89,4,0.16,0.13,1.99,0.024,1.0028851851851852,0,19.4,45.1,February,9.1131498470948,0.0,125.76923076923077,0.007951070336391437,0-1
03-02-1900,2018-02-04,Furniture,17,Swing,56,4.0,1.81,14.23,21.59,143.2,4,1.28,2.73,2.18,0.035,0.62,0,22.5,43.2,February,30.939226519337016,7.142857142857143,0.663003663003663,1.5082872928176796,1-2
04-02-1900,2018-02-05,Automotive,3,Night,167,9.0,3.05,15.45,28.61,279.58,2,3.36,0.91,0.72,0.039,1.18,0,19.6,47.3,February,54.75409836065574,5.389221556886228,3.3516483516483513,0.2983606557377049,3-4
05-02-1900,2018-02-06,Furniture,19,Day,115,6.0,9.62,37.25,17.59,190.21,3,1.81,0.37,1.35,0.03,0.66,0,22.9,42.1,February,11.954261954261955,5.217391304347826,25.999999999999996,0.038461538461538464,1-2
06-02-1900,2018-02-07,Appliances,12,Day,198,1.0,9.82,29.72,28.17,341.84,3,0.8,0.59,1.78,0.02,1.0028851851851852,1,19.2,31.3,February,20.162932790224033,0.5050505050505051,16.64406779661017,0.06008146639511201,0-1
07-02-1900,2018-02-08,Appliances,9,Night,140,5.0,7.85,41.54,16.7,473.59,1,0.54,1.79,2.01,0.039,1.91,0,22.6,51.2,February,17.8343949044586,3.5714285714285716,4.385474860335195,0.22802547770700637,0-1
08-02-1900,2018-02-09,Electronics,14,Night,50,2.0,15.96,47.01,26.58,486.39,4,2.5071666666666665,2.33,2.4,0.015,1.31,2,21.3,48.0,February,3.132832080200501,4.0,6.849785407725322,0.14598997493734336,2-3
09-02-1900,2018-02-10,Automotive,4,Swing,127,0.0,14.96,36.99,17.14,468.49,1,1.41,0.47,0.9,0.018,0.65,2,18.2,41.5,February,8.489304812834224,0.0,31.829787234042556,0.031417112299465234,1-2
10-02-1900,2018-02-11,Appliances,9,Night,98,9.0,16.74,46.48,17.31,218.47,4,4.82,2.04,2.32,0.034,1.16,1,22.3,46.6,February,5.854241338112306,9.183673469387756,8.205882352941176,0.12186379928315413,4-5
11-02-1900,2018-02-12,Electronics,13,Night,136,0.0,6.31,11.1,27.92,490.66,1,3.69,0.45,2.2,0.028,1.1,0,21.6,38.6,February,21.553090332805073,0.0,14.02222222222222,0.07131537242472266,3-4
12-02-1900,2018-02-13,Furniture,19,Swing,101,9.0,1.06,31.5,21.72,223.19,4,1.77,1.57,1.51,0.034,1.61,2,20.2,45.2,February,95.28301886792453,8.910891089108912,0.6751592356687898,1.4811320754716981,1-2
13-02-1900,2018-02-14,Furniture,18,Day,117,4.0,23.25,20.68,18.82,350.41,2,1.72,2.07,1.68,0.042,1.5,2,23.6,55.2,February,5.032258064516129,3.4188034188034186,11.231884057971016,0.08903225806451612,1-2
14-02-1900,2018-02-15,Electronics,14,Swing,110,9.0,18.77,17.87,24.88,456.22,3,0.71,2.58,1.9,0.042,0.42,0,21.0,33.0,February,5.860415556739478,8.181818181818182,7.275193798449612,0.1374533830580714,0-1
15-02-1900,2018-02-16,Textiles,8,Night,187,8.0,11.51,21.21,27.92,363.48,3,3.58,2.0,2.29,0.033,0.99,2,21.8,46.5,February,16.24674196350999,4.278074866310161,5.755,0.1737619461337967,3-4
16-02-1900,2018-02-17,Furniture,20,Night,59,9.0,2.01,42.78,21.23,498.63,4,2.47,1.57,1.61,0.045,0.72,1,24.7,54.6,February,29.353233830845774,15.254237288135593,1.2802547770700634,0.7810945273631842,2-3
17-02-1900,2018-02-18,Textiles,7,Day,135,4.0,5.58,35.2,19.29,239.71,2,4.12,2.53,0.94,0.023,0.4,2,22.7,55.5,February,24.193548387096772,2.962962962962963,2.205533596837945,0.4534050179211469,4-5
18-02-1900,2018-02-19,Electronics,15,Day,100,7.0,2.22,41.08,19.15,147.78,3,1.38,1.96,1.35,0.031,1.65,0,18.3,30.0,February,45.04504504504504,7.0,1.1326530612244898,0.8828828828828827,1-2
19-02-1900,2018-02-20,Automotive,3,Swing,126,3.0,11.98,29.99,25.24,188.12,3,1.7,0.63,1.16,0.036,0.09,2,23.8,40.2,February,10.51752921535893,2.380952380952381,19.015873015873016,0.052587646076794656,1-2
20-02-1900,2018-02-21,Appliances,9,Day,88,4.0,5.99,20.69,25.6,173.65,1,2.39,2.82,2.4,0.028,0.46,1,19.2,48.9,February,14.691151919866444,4.545454545454546,2.124113475177305,0.47078464106844736,2-3
21-02-1900,2018-02-22,Furniture,18,Day,143,4.0,13.39,28.73,28.7,461.44,1,3.53,2.64,0.7,0.047,1.69,2,22.7,46.7,February,10.679611650485436,2.797202797202797,5.071969696969697,0.19716206123973115,3-4
22-02-1900,2018-02-23,Appliances,11,Night,62,2.0,2.43,18.59,15.32,286.34,1,4.31,1.27,1.43,0.049,1.0028851851851852,1,24.0,45.8,February,25.51440329218107,3.225806451612903,1.9133858267716537,0.522633744855967,4-5
23-02-1900,2018-02-24,Textiles,5,Day,91,3.0,17.35,49.66,17.06,306.31,1,4.77,1.77,2.48,0.01,0.87,2,24.2,31.1,February,5.244956772334294,3.2967032967032965,9.80225988700565,0.10201729106628242,4-5
24-02-1900,2018-02-25,Furniture,19,Swing,75,9.0,3.32,40.92,23.84,169.19,1,0.24,2.01,1.51,0.043,0.47,2,19.1,41.0,February,22.590361445783135,12.0,1.6517412935323383,0.6054216867469879,0-1
25-02-1900,2018-02-26,Automotive,4,Swing,108,4.0,8.12,12.5,19.41,185.71,3,4.23,2.53,1.37,0.05,0.68,2,21.3,48.3,February,13.30049261083744,3.7037037037037037,3.2094861660079053,0.31157635467980294,4-5
26-02-1900,2018-02-27,Automotive,3,Night,152,4.0,15.84,49.92,21.75,419.84,2,0.63,1.07,1.83,0.045,1.44,0,21.1,38.9,February,9.595959595959597,2.6315789473684212,14.80373831775701,0.06755050505050506,0-1
27-02-1900,2018-02-28,Automotive,1,Night,76,9.0,3.47,15.99,28.91,373.15,3,4.91,2.03,0.95,0.045,1.43,0,21.3,36.2,February,21.902017291066283,11.842105263157896,1.7093596059113303,0.585014409221902,4-5
01-03-1900,2018-03-01,Appliances,11,Night,181,3.0,5.4,25.17,24.72,418.19,4,1.56,1.11,1.45,0.013,1.0028851851851852,1,22.8,49.6,March,33.51851851851852,1.6574585635359116,4.864864864864865,0.20555555555555555,1-2
02-03-1900,2018-03-02,Appliances,10,Night,101,3.0,1.83,31.75,27.06,121.48,3,2.5071666666666665,1.27,1.33,0.017,1.49,1,22.2,57.0,March,55.19125683060109,2.9702970297029703,1.4409448818897639,0.6939890710382514,2-3
03-03-1900,2018-03-03,Textiles,5,Day,148,8.0,16.38,38.57,16.81,128.27,4,1.24,1.27,1.35,0.024,1.0028851851851852,0,23.5,53.0,March,9.035409035409035,5.405405405405405,12.897637795275589,0.07753357753357754,1-2
04-03-1900,2018-03-04,Appliances,11,Swing,88,4.0,9.78,22.09,24.7,135.4,2,4.28,1.22,1.87,0.018,1.5,0,24.5,32.2,March,8.997955010224949,4.545454545454546,8.01639344262295,0.12474437627811862,4-5
05-03-1900,2018-03-05,Textiles,5,Swing,178,4.0,23.25,14.09,27.47,381.39,1,4.17,1.62,1.81,0.031,0.18,0,20.4,46.6,March,7.655913978494624,2.247191011235955,14.351851851851851,0.06967741935483872,4-5
06-03-1900,2018-03-06,Appliances,9,Day,65,5.0,3.01,36.28,18.1,338.35,2,1.32,0.14,1.52,0.02,0.8,2,22.9,37.9,March,21.59468438538206,7.6923076923076925,21.499999999999996,0.04651162790697675,1-2
07-03-1900,2018-03-07,Textiles,8,Swing,94,1.0,9.17,11.02,17.02,444.71,3,2.52,1.57,1.69,0.016,1.45,0,21.8,59.2,March,10.25081788440567,1.0638297872340425,5.840764331210191,0.1712104689203926,2-3
08-03-1900,2018-03-08,Electronics,13,Day,71,8.0,14.65,19.0,15.98,487.45,3,0.38,0.92,2.23,0.018,0.65,1,24.6,45.0,March,4.84641638225256,11.267605633802816,15.92391304347826,0.06279863481228669,0-1
09-03-1900,2018-03-09,Automotive,3,Night,172,3.0,13.52,10.35,25.93,236.41,2,0.68,1.62,2.11,0.04,0.19,1,23.5,49.9,March,12.721893491124261,1.744186046511628,8.345679012345679,0.1198224852071006,0-1
10-03-1900,2018-03-10,Furniture,18,Day,127,2.0,12.23,39.41,21.21,351.51,2,1.8,0.86,1.54,0.017,0.33,2,19.5,30.3,March,10.384300899427636,1.5748031496062993,14.22093023255814,0.07031888798037612,1-2
11-03-1900,2018-03-11,Appliances,12,Swing,180,8.0,9.83,45.3,22.49,448.17,2,4.53,2.81,2.36,0.03,1.19,1,20.1,48.9,March,18.311291963377418,4.444444444444445,3.498220640569395,0.28585961342828076,4-5
12-03-1900,2018-03-12,Automotive,2,Day,87,4.0,20.2,22.99,16.48,193.28,2,2.5071666666666665,2.92,1.42,0.046,1.99,0,21.5,31.3,March,4.306930693069307,4.597701149425287,6.917808219178082,0.14455445544554454,2-3
13-03-1900,2018-03-13,Appliances,9,Day,51,4.0,4.18,22.59,16.74,138.24,3,2.5071666666666665,2.94,1.12,0.032,1.0028851851851852,0,19.6,40.0,March,12.200956937799043,7.8431372549019605,1.4217687074829932,0.7033492822966507,2-3
14-03-1900,2018-03-14,Textiles,7,Night,170,2.0,12.53,13.9,25.11,493.13,4,4.76,1.31,0.82,0.018,0.76,0,20.8,34.4,March,13.567438148443737,1.1764705882352942,9.564885496183205,0.1045490822027135,4-5
15-03-1900,2018-03-15,Appliances,10,Swing,103,1.0,14.17,11.7,21.19,459.79,1,3.89,1.82,0.95,0.027,0.38,2,21.5,44.1,March,7.268877911079746,0.970873786407767,7.785714285714286,0.12844036697247707,3-4
16-03-1900,2018-03-16,Automotive,1,Night,157,8.0,21.35,19.43,27.61,344.01,1,4.97,1.57,1.85,0.038,1.46,0,24.6,56.6,March,7.3536299765807955,5.095541401273885,13.598726114649683,0.07353629976580796,4-5
17-03-1900,2018-03-17,Automotive,4,Night,122,7.0,7.5,44.38,26.81,104.12,4,2.3,1.57,1.65,0.031,1.71,2,18.5,48.7,March,16.266666666666666,5.737704918032787,4.777070063694267,0.20933333333333334,2-3
18-03-1900,2018-03-18,Appliances,12,Swing,91,4.0,7.3,34.08,26.78,190.48,1,0.97,1.15,0.76,0.041,1.76,2,23.7,37.1,March,12.465753424657535,4.395604395604396,6.347826086956522,0.15753424657534246,0-1
19-03-1900,2018-03-19,Furniture,17,Swing,91,4.0,19.63,10.45,27.91,378.27,2,2.12,0.92,1.46,0.014,0.52,2,21.3,48.8,March,4.635761589403974,4.395604395604396,21.33695652173913,0.04686704024452369,2-3
20-03-1900,2018-03-20,Furniture,20,Swing,69,0.0,7.37,34.38,27.71,244.0,2,2.12,1.46,0.81,0.024,1.04,0,24.2,47.7,March,9.362279511533243,0.0,5.0479452054794525,0.19810040705563092,2-3
21-03-1900,2018-03-21,Electronics,14,Night,70,5.0,2.24,12.02,23.15,327.55,2,3.88,2.39,1.31,0.016,0.3,0,18.3,45.8,March,31.249999999999996,7.142857142857143,0.9372384937238494,1.0669642857142856,3-4
22-03-1900,2018-03-22,Electronics,15,Swing,183,9.0,13.01,26.74,19.31,122.24,2,1.33,1.88,0.99,0.047,1.0028851851851852,2,21.9,38.2,March,14.066102997694081,4.918032786885246,6.920212765957447,0.1445042275172944,1-2
23-03-1900,2018-03-23,Electronics,15,Swing,142,0.0,18.46,47.38,23.44,319.46,3,2.65,0.35,1.48,0.019,0.26,0,22.5,42.7,March,7.692307692307692,0.0,52.74285714285715,0.01895991332611051,2-3
24-03-1900,2018-03-24,Textiles,6,Swing,71,9.0,4.53,35.1,18.55,157.43,2,2.5071666666666665,0.61,2.23,0.042,1.65,0,24.5,42.5,March,15.673289183222957,12.67605633802817,7.426229508196722,0.1346578366445916,2-3
25-03-1900,2018-03-25,Furniture,20,Night,148,4.0,18.53,34.48,17.88,142.2,3,2.27,0.4,1.1,0.018,0.99,1,21.9,36.9,March,7.9870480302212625,2.7027027027027026,46.325,0.021586616297895305,2-3
26-03-1900,2018-03-26,Electronics,13,Swing,136,7.0,9.15,36.98,22.59,295.71,3,0.5,0.65,2.45,0.046,0.51,0,23.8,50.9,March,14.863387978142075,5.147058823529412,14.076923076923077,0.07103825136612021,0-1
27-03-1900,2018-03-27,Furniture,20,Night,78,4.0,22.82,15.56,24.34,305.27,4,2.82,0.09,1.5,0.014,1.99,0,24.8,54.2,March,3.418054338299737,5.128205128205129,253.55555555555557,0.003943908851884312,2-3
28-03-1900,2018-03-28,Appliances,11,Swing,89,4.0,3.0,13.73,21.76,460.33,2,3.17,2.65,0.85,0.022,0.65,2,20.2,37.9,March,29.666666666666668,4.49438202247191,1.1320754716981132,0.8833333333333333,3-4
29-03-1900,2018-03-29,Appliances,12,Swing,169,6.0,8.25,24.9,27.09,495.44,1,0.24,2.53,1.83,0.015,1.07,2,25.0,57.3,March,20.484848484848484,3.5502958579881656,3.2608695652173916,0.30666666666666664,0-1
30-03-1900,2018-03-30,Appliances,10,Swing,76,8.0,5.83,17.58,23.76,143.47,3,0.65,1.67,2.23,0.023,1.19,1,19.2,54.0,March,13.036020583190394,10.526315789473685,3.4910179640718564,0.2864493996569468,0-1
31-03-1900,2018-03-31,Automotive,1,Swing,192,1.0,21.63,10.93,29.67,226.29,1,0.35,2.31,1.46,0.031,0.38,1,22.8,55.4,March,8.876560332871012,0.5208333333333334,9.363636363636363,0.10679611650485438,0-1
01-04-1900,2018-04-01,Furniture,19,Night,148,1.0,7.42,23.61,17.55,394.34,1,1.02,3.0,2.28,0.049,0.38,2,22.6,53.5,April,19.946091644204852,0.6756756756756757,2.473333333333333,0.40431266846361186,1-2
02-04-1900,2018-04-02,Appliances,11,Night,140,0.0,7.11,29.89,19.68,363.02,3,0.35,1.75,2.04,0.023,1.91,2,18.9,58.8,April,19.69057665260197,0.0,4.062857142857143,0.2461322081575246,0-1
03-04-1900,2018-04-03,Electronics,16,Day,189,6.0,17.21,12.01,16.06,132.35,4,2.07,1.84,0.73,0.02,0.99,1,18.6,34.4,April,10.981987216734456,3.1746031746031744,9.353260869565217,0.10691458454386985,2-3
04-04-1900,2018-04-04,Appliances,12,Swing,159,6.0,22.83,48.88,22.49,123.51,4,1.29,1.57,2.21,0.036,0.61,2,22.2,32.6,April,6.964520367936926,3.7735849056603774,14.541401273885349,0.06876916338151556,1-2
05-04-1900,2018-04-05,Furniture,20,Swing,90,3.0,14.58,40.61,15.75,265.9,3,3.7,1.59,0.73,0.023,0.3,2,20.9,56.5,April,6.172839506172839,3.3333333333333335,9.169811320754716,0.10905349794238683,3-4
06-04-1900,2018-04-06,Textiles,8,Day,121,4.0,22.66,39.51,24.77,298.71,4,4.65,0.15,1.27,0.023,0.08,1,18.6,44.5,April,5.339805825242719,3.3057851239669422,151.06666666666666,0.006619593998234774,4-5
07-04-1900,2018-04-07,Appliances,11,Swing,147,5.0,16.13,45.21,18.75,328.92,3,2.64,1.04,2.36,0.048,1.88,1,23.3,39.0,April,9.113453192808432,3.401360544217687,15.509615384615383,0.06447613143211407,2-3
08-04-1900,2018-04-08,Automotive,1,Night,149,9.0,5.53,33.61,26.33,355.43,2,1.79,2.15,1.04,0.019,0.47,0,18.7,57.5,April,26.94394213381555,6.040268456375839,2.5720930232558143,0.38878842676311026,1-2
09-04-1900,2018-04-09,Automotive,1,Swing,164,6.0,18.12,27.53,15.6,292.76,2,2.79,2.11,0.52,0.015,0.92,2,23.7,41.8,April,9.050772626931566,3.658536585365854,8.587677725118484,0.11644591611479027,2-3
10-04-1900,2018-04-10,Furniture,17,Day,130,6.0,7.82,29.38,20.05,387.21,1,0.73,2.98,1.35,0.046,0.07,0,18.7,34.0,April,16.624040920716112,4.615384615384615,2.6241610738255035,0.38107416879795397,0-1
11-04-1900,2018-04-11,Furniture,18,Day,74,4.0,8.1,17.88,28.97,146.86,4,4.03,1.57,2.38,0.035,1.59,1,23.0,32.9,April,9.135802469135802,5.405405405405405,5.159235668789808,0.19382716049382717,4-5
12-04-1900,2018-04-12,Electronics,13,Swing,159,4.0,19.6,60.0,16.03,396.75,3,2.5071666666666665,0.22,1.35,0.036,0.57,2,24.1,45.7,April,8.112244897959183,2.5157232704402515,89.0909090909091,0.011224489795918367,2-3
13-04-1900,2018-04-13,Electronics,16,Swing,194,8.0,6.95,41.91,28.13,347.7,2,0.13,2.86,0.71,0.038,1.91,0,24.0,30.5,April,27.913669064748202,4.123711340206185,2.4300699300699304,0.41151079136690644,0-1
14-04-1900,2018-04-14,Automotive,3,Swing,158,5.0,8.66,30.09,19.96,103.71,1,2.49,0.09,1.34,0.026,1.63,1,23.2,58.5,April,18.244803695150114,3.1645569620253164,96.22222222222223,0.010392609699769052,2-3
15-04-1900,2018-04-15,Appliances,11,Day,189,9.0,23.71,17.34,15.57,288.64,3,3.11,1.93,2.47,0.031,1.0028851851851852,2,19.3,33.3,April,7.971320118093631,4.761904761904762,12.28497409326425,0.08140025305778152,3-4
16-04-1900,2018-04-16,Electronics,16,Swing,183,0.0,4.91,44.49,28.5,240.62,4,0.74,0.77,0.9,0.04,0.41,0,21.3,41.1,April,37.270875763747455,0.0,6.376623376623376,0.15682281059063136,0-1
17-04-1900,2018-04-17,Electronics,14,Swing,186,9.0,15.54,36.0,21.44,201.4,3,2.5071666666666665,1.57,2.33,0.032,0.38,1,20.5,39.4,April,11.96911196911197,4.838709677419355,9.89808917197452,0.10102960102960104,2-3
18-04-1900,2018-04-18,Electronics,13,Day,95,7.0,10.08,33.94,21.52,122.05,3,1.38,1.57,0.74,0.034,1.22,0,21.2,41.7,April,9.424603174603174,7.368421052631579,6.420382165605095,0.15575396825396826,1-2
19-04-1900,2018-04-19,Electronics,13,Night,71,1.0,8.35,48.77,25.33,490.93,3,2.43,0.09,0.72,0.048,0.24,2,23.2,52.4,April,8.502994011976048,1.408450704225352,92.77777777777777,0.010778443113772455,2-3
20-04-1900,2018-04-20,Electronics,13,Day,104,8.0,4.06,47.01,22.03,211.91,1,2.36,0.84,0.6,0.026,1.92,1,24.0,45.4,April,25.615763546798032,7.6923076923076925,4.833333333333333,0.20689655172413796,2-3
21-04-1900,2018-04-21,Appliances,12,Swing,52,3.0,13.25,15.86,26.65,283.28,2,2.5071666666666665,0.7,0.82,0.022,0.19,0,22.6,32.6,April,3.9245283018867925,5.769230769230769,18.92857142857143,0.05283018867924528,2-3
22-04-1900,2018-04-22,Textiles,7,Swing,139,1.0,14.11,39.69,23.51,137.69,1,4.42,1.22,2.38,0.014,1.0028851851851852,0,18.1,32.9,April,9.851169383416018,0.7194244604316546,11.565573770491802,0.08646350106307583,4-5
23-04-1900,2018-04-23,Electronics,16,Night,83,7.0,16.82,46.14,19.77,418.75,4,1.36,0.13,2.14,0.014,0.33,1,18.9,39.2,April,4.934601664684899,8.433734939759036,129.3846153846154,0.0077288941736028535,1-2
24-04-1900,2018-04-24,Furniture,17,Swing,169,4.0,19.12,44.47,24.58,109.49,2,3.71,0.97,1.17,0.028,1.24,2,20.4,36.1,April,8.838912133891213,2.366863905325444,19.711340206185568,0.05073221757322175,3-4
